text,label_attesa
"Questa app è fantastica! Interfaccia pulita e velocissima.",positive
"Non funziona nulla, crasha ogni volta che provo a fare il login. Pessima.",negative
"Servizio clienti gentile, ma i tempi di attesa sono un po' lunghi.",neutral
"Ho chiesto il rimborso e non mi hanno nemmeno risposto. Truffa!",negative
"Ottimo rapporto qualità prezzo, lo consiglio a tutti.",positive
"Niente di speciale, fa il suo dovere ma ci sono alternative migliori gratis.",neutral
"Il design è orribile, sembra un sito degli anni 90.",negative
"Finalmente un software che risolve i miei problemi di contabilità. Grazie!",positive
"L'aggiornamento ha rotto tutto. Sistemate subito!",negative
"Abbastanza intuitivo, ma mancano alcune funzionalità avanzate presenti nei competitor.",neutral
"Adoro la dark mode, molto riposante per gli occhi.",positive
"Impossibile cancellare l'account dalle impostazioni. È illegale.",negative
"Spedizione veloce e imballaggio curato. Tutto perfetto.",positive
"Il prodotto è arrivato rotto e il reso è complicatissimo.",negative
"Normale, senza infamia e senza lode.",neutral
"Troppo caro per quello che offre.",negative
"Supporto tecnico incompetente, mi hanno fatto perdere due ore.",negative
"Incredibile, mai vista una precisione del genere.",positive
"Non male, ma potrebbero migliorare la documentazione.",neutral
"Disinstallata dopo 5 minuti. Inutile.",negative
